Concat_Subtype_Element_Type,Weightings,Varient_Commment
Embankment_Core,NULL,NULL
Embankment_Crest,7,NULL
Embankment_Crest,9,If Crest is less than 4metres wide and has ahistory of overtoppingor overflowing.
Embankment_Exposed Face,7,NULL
Embankment_Exposed Face,9,If steeper than 1V:3H oris exposed to waveloading with noengineered erosionprotection.
Embankment_Exposed Toe,5,NULL
Embankment_Exposed Toe,8,If steeper than 1V:3H orexposed to extremeloading.
Embankment_Fill,NULL,NULL
Embankment_Landward Face,7,NULL
Embankment_Landward Face,9,If steeper than 1V:3H orhas a history ofovertopping with noengineered erosionprotection.
Embankment_Landward Toe,7,NULL
Embankment_Pile Capping,4,NULL
Embankment_Pile Capping,6,If element is critical tostructural stability ofthe asset.
Embankment_Piling,8,NULL
Embankment_Retaining Wall,6,NULL
Embankment_Retaining Wall,9,if failure would lowerthe crest of the asset
Embankment_Sheet Piling,8,NULL
Embankment_Sheet Piling,9,If element is used forholding back water
Embankment_Shore,5,NULL
Embankment_Shore,8,"If asset is extremelyexposed, or the Shoreprovides structuralstability or erosionprotection to the areaon which the asset isfounded."
Embankment_Toe Drain,3,NULL
Embankment_Toe Drain,8,"If embankment issupporting, or above,any criticalinfrastructure."
Engine Assembly_Cooling System,NULL,NULL
Engine Assembly_Engine,NULL,NULL
Engine Assembly_Exhaust System,NULL,NULL
Engine Assembly_Fuel System,NULL,NULL
Engine Assembly_Gearbox,NULL,NULL
Engineered High Ground_Access Strip,3,NULL
Engineered High Ground_Bearing Piling,8,NULL
Engineered High Ground_Berm,5,NULL
Engineered High Ground_Berm,7,If less than 1 metrewide.
Engineered High Ground_Capping Beam,4,NULL
Engineered High Ground_Capping Beam,6,If critical to thestructural integrity ofthe asset
Engineered High Ground_Channel Side,7,NULL
Engineered High Ground_Channel Side,9,If less than 3 metreshorizontally from assetor if failure would blocka significant proportionof the channel.
Engineered High Ground_Coping,2,NULL
Engineered High Ground_Expansion Joint,5,NULL
Engineered High Ground_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Engineered High Ground_Ground Anchors,6,NULL
Engineered High Ground_High Ground,3,NULL
Engineered High Ground_High Ground,1,If High ground risessteeply away fromchannel side or coast
Engineered High Ground_Piling,8,NULL
Engineered High Ground_Retaining Wall,6,NULL
Engineered High Ground_Retaining Wall,9,if failure would block asignificant proportion ofthe channel.
Engineered High Ground_Sheet Piling,8,NULL
Engineered High Ground_Sheet Piling,9,If element is used forholding back water
Engineered High Ground_Shore,1,NULL
Engineered High Ground_Shore,5,If the Shore providesstructural stability orerosion protection tostructures that retainthe highground.
Fish or Eel Barrier_Access Point,6,NULL
Fish or Eel Barrier_Access Point,3,If an alternate accessfor regular maintenanceis available.
Fish or Eel Barrier_Access Strip,6,NULL
Fish or Eel Barrier_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Fish or Eel Barrier_Band Screen,7,NULL
Fish or Eel Barrier_Band Screen,9,"If primary function ofasset is fishmanagement e.g., Fishor Eel barrier."
Fish or Eel Barrier_Cable and Pipe Management,3,NULL
Fish or Eel Barrier_Cable and Pipe Management,6,"If cables or pipes areintegral to operation ofthe asset, for examplecontrolling gates etc."
Fish or Eel Barrier_Central Support Structure,6,NULL
Fish or Eel Barrier_Chain Blocks,NULL,NULL
Fish or Eel Barrier_Channel Bed,7,NULL
Fish or Eel Barrier_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Fish or Eel Barrier_Equipment Housing,4,NULL
Fish or Eel Barrier_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Fish or Eel Barrier_Fish Guidance and Deterrents,NULL,NULL
Fish or Eel Barrier_Fish or Eel Screen,7,NULL
Fish or Eel Barrier_Fish or Eel Screen,9,If sole means ofpreventing fish enteringthe excluded area.
Fish or Eel Barrier_Frame,7,NULL
Fish or Eel Barrier_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Fish or Eel Barrier_Left Bank Wall,6,NULL
Fish or Eel Barrier_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Fish or Eel Barrier_Lighting,NULL,NULL
Fish or Eel Barrier_Padlock or Lock,6,NULL
Fish or Eel Barrier_Padlock or Lock,9,if critical to theoperation of the asset
Fish or Eel Barrier_Pipe,6,NULL
Fish or Eel Barrier_Pipe,9,If full functionality ofthe assets is dependentsolely on the pipe beingassessed.
Fish or Eel Barrier_Right Bank Wall,6,NULL
Fish or Eel Barrier_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Fish or Eel Barrier_Ropes,7,NULL
Fish or Eel Barrier_Sensor,3,NULL
Fish or Eel Barrier_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
Fish or Eel Barrier_Solar Panel,NULL,NULL
Fish or Eel Barrier_Stanchions and Anchors,9,NULL
Fish or Eel Barrier_Treads and Risers,3,NULL
Fish or Eel Barrier_Treads and Risers,7,if required foroperational access.
Fish Pass_Access Point,6,NULL
Fish Pass_Access Point,3,If an alternate accessfor regular maintenanceis available.
Fish Pass_Access Strip,6,NULL
Fish Pass_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Fish Pass_Apron,5,NULL
Fish Pass_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Fish Pass_Band Screen,7,NULL
Fish Pass_Band Screen,9,If primary function ofasset is fishmanagement e.g. Fishor Eel barrier.
Fish Pass_Bristle Mats,7,NULL
Fish Pass_Bristle Mats,9,if critical to passage ofthe fish species theasset is designed for e.g.Eel or Lamprey.
Fish Pass_Cable and Pipe Management,3,NULL
Fish Pass_Cable and Pipe Management,6,"If cables or pipes areintegral to operation ofthe asset, for examplecontrolling gates etc."
Fish Pass_Capping Beam,6,NULL
Fish Pass_Central Support Structure,6,NULL
Fish Pass_Chamber,5,NULL
Fish Pass_Chamber,7,If element is critical foroperation.
Fish Pass_Channel,9,NULL
Fish Pass_Channel Bed,7,NULL
Fish Pass_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Fish Pass_Cill,3,NULL
Fish Pass_Cover or Hatch,1,NULL
Fish Pass_Crest,7,NULL
Fish Pass_Crest,9,If Crest can influenceflow or levelmonitoring.
Fish Pass_Dampers,NULL,NULL
Fish Pass_Datum Plates and Markers,4,NULL
Fish Pass_Datum Plates and Markers,7,If critical for datacalibration / qualitychecks.
Fish Pass_Deflector,6,NULL
Fish Pass_Deflector,8,if critical for keeping thepass functional.
Fish Pass_Distribution Board,NULL,NULL
Fish Pass_Distribution Network Operator Feeder,NULL,NULL
Fish Pass_Downstream Face,7,NULL
Fish Pass_Downstream Face,9,If element is part of aspillway or critical forthe asset to performmonitoring / flowcalculation / levelmeasurement function
Fish Pass_Downstream Headwall,8,NULL
Fish Pass_Eel Tiles,7,NULL
Fish Pass_Eel Tiles,9,if critical to passage ofthe fish species theasset is designed for e.g.Eel or Lamprey.
Fish Pass_Electrical System,NULL,NULL
Fish Pass_Electricity Meter,NULL,NULL
Fish Pass_Electricity Sub Meter,NULL,NULL
Fish Pass_Equipment Housing,4,NULL
Fish Pass_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Fish Pass_Excavated Ground,5,NULL
Fish Pass_Excavated Ground,9,if failure would blockflows through the asset.
Fish Pass_Expansion Joint,5,NULL
Fish Pass_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Fish Pass_Face Plate,6,NULL
Fish Pass_Face Plate,9,If gate is critical to theoperation of the Asset
Fish Pass_Face Protection,7,NULL
Fish Pass_Fastenings,7,NULL
Fish Pass_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Fish Pass_Fixed Fall Arrest system,NULL,NULL
Fish Pass_Fixings,3,NULL
Fish Pass_Foundation,9,NULL
Fish Pass_Frame,7,NULL
Fish Pass_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Fish Pass_Fuel Cell,NULL,NULL
Fish Pass_Gantry,1,NULL
Fish Pass_Gantry,5,If failure wouldcompromise operation.
Fish Pass_Habitat Enhancement,1,NULL
Fish Pass_Hydro Turbine,NULL,NULL
Fish Pass_Incomer,NULL,NULL
Fish Pass_Inlet,9,NULL
Fish Pass_Ladder,3,NULL
Fish Pass_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Fish Pass_Left Face,9,NULL
Fish Pass_Maintenance Hole,3,NULL
Fish Pass_Maintenance Hole,6,If element provides solemeans of undertaking
Fish Pass_Mooring Point,6,NULL
Fish Pass_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Fish Pass_Navigation Light,3,NULL
Fish Pass_Outlet,9,NULL
Fish Pass_Padlock or Lock,6,NULL
Fish Pass_Padlock or Lock,9,if critical to theoperation of the asset
Fish Pass_Pass Baffles,9,NULL
Fish Pass_Pass Channel,9,NULL
Fish Pass_Pipe,6,NULL
Fish Pass_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Fish Pass_Pipework,6,NULL
Fish Pass_Pipework,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Fish Pass_Pre-Barrage,6,NULL
Fish Pass_Pre-Barrage,9,if critical to passage ofthe fish species theasset is designed for e.g.Fish or Lamprey.
Fish Pass_Retaining Wall,6,NULL
Fish Pass_Retaining Wall,9,if element is requiredfor structural integrityor failure would preventoperation of the asset.
Fish Pass_Right Face,9,NULL
Fish Pass_Seals,5,NULL
Fish Pass_Seals,7,If element is critical forasset function
Fish Pass_Sensor,3,NULL
Fish Pass_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
Fish Pass_Sheet Piling,7,NULL
Fish Pass_Sheet Piling,9,if failure would preventaccess / operation.
Fish Pass_Silt Trap,1,NULL
Fish Pass_Silt Trap,5,"If watercourse is steep,upland and/or carriesheavy sediment load."
Fish Pass_Solar Panel,NULL,NULL
Fish Pass_Springs,NULL,NULL
Fish Pass_Stoplogs and Lasherboards,3,NULL
Fish Pass_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activitiesactivities
Fish Pass_Struts and Bracing,7,NULL
Fish Pass_Substructure,8,NULL
Fish Pass_Substructure,9,if function /performance of theasset beingcompromised.
Fish Pass_Transformer,NULL,NULL
Fish Pass_Treads and Risers,3,NULL
Fish Pass_Treads and Risers,7,if required foroperational access.
Fish Pass_Uninterruptible Power Supply,NULL,NULL
Fish Pass_Upstream Face,7,NULL
Fish Pass_Upstream Face,9,If element is critical forflow or levelmonitoring.
Fish Pass_Upstream Headwall,6,NULL
Fish Pass_Upstream Headwall,8,If critical for flow orlevel monitoring.
Fish Pass_Winch,NULL,NULL
Fish Pass_Wind Turbine,NULL,NULL
Fish Refuge_Access Point,6,NULL
Fish Refuge_Access Point,3,If an alternate accessfor regular maintenanceis available.
Fish Refuge_Access Strip,6,NULL
Fish Refuge_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Fish Refuge_Anchor and Chain,9,NULL
Fish Refuge_Animal Feeding Station,3,NULL
Fish Refuge_Animal Feeding Station,9,If element categorisedas Critical to overallasset function
Fish Refuge_Balustrade,4,NULL
Fish Refuge_Balustrade,7,If element required forsafe operation.
Fish Refuge_Floats,9,NULL
Fish Refuge_Floats,3,If fish refuge is notreliant on floats to stayin position.
Fish Refuge_Gantry,1,NULL
Fish Refuge_Gantry,5,If failure wouldcompromise operation.
Fish Refuge_Handrail,4,NULL
Fish Refuge_Handrail,7,If element required forsafe operation.
Fish Refuge_Ladder,3,NULL
Fish Refuge_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Fish Refuge_Lifting Ropes and Drums,NULL,NULL
Fish Refuge_Lighting,NULL,NULL
Fish Refuge_Mooring Line Tensioners,NULL,NULL
Fish Refuge_Mooring Point,6,NULL
Fish Refuge_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Fish Refuge_Netting and Non Reinforcement Mesh,9,NULL
Fish Refuge_Shackles,7,NULL
Fish Refuge_Shackles,1,If element is notpermanently fixed tosite.
Fish Refuge_Treads and Risers,3,NULL
Fish Refuge_Treads and Risers,7,if required foroperational access.
Fishing Cage_Access Point,6,NULL
Fishing Cage_Access Point,3,If an alternate accessfor regular maintenanceis available.
Fishing Cage_Access Strip,6,NULL
Fishing Cage_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Fishing Cage_Animal Feeding Station,9,NULL
Fishing Cage_Balustrade,4,NULL
Fishing Cage_Balustrade,7,If element required forsafe operation.
Fishing Cage_Floats,9,NULL
Fishing Cage_Gantry,1,NULL
Fishing Cage_Gantry,5,If failure wouldcompromise operation.
Fishing Cage_Handrail,4,NULL
Fishing Cage_Handrail,7,If element required forsafe operation.
Fishing Cage_Ladder,3,NULL
Fishing Cage_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Fishing Cage_Lifting Ropes and Drums,NULL,NULL
Fishing Cage_Lighting,NULL,NULL
Fishing Cage_Mooring Line Tensioners,NULL,NULL
Fishing Cage_Mooring Point,6,NULL
Fishing Cage_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Fishing Cage_Netting and Non Reinforcement Mesh,7,NULL
Fishing Cage_Shackles,9,NULL
Fishing Cage_Treads and Risers,3,NULL
Fishing Cage_Treads and Risers,7,if required foroperational access.
Fishing Platform_Access Point,9,NULL
Fishing Platform_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Fishing Platform_Access Strip,9,NULL
Fishing Platform_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Fishing Platform_Balustrade,4,NULL
Fishing Platform_Balustrade,7,If element required forsafe operation.
Fishing Platform_Deck,7,NULL
Fishing Platform_Deck,9,If Deck is over water.
Fishing Platform_Fixed Seats,3,NULL
Fishing Platform_Handrail,4,NULL
Fishing Platform_Handrail,7,If element required forsafe operation.
Fishing Platform_Ladder,3,NULL
Fishing Platform_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Fishing Platform_Treads and Risers,3,NULL
Fishing Platform_Treads and Risers,7,if required foroperational access.
Flood Gate_Actuator,NULL,NULL
Flood Gate_Berm,5,NULL
Flood Gate_Berm,7,If less than 3 metreswide.
Flood Gate_Cathodic Protection,NULL,NULL
Flood Gate_Channel Side,5,NULL
Flood Gate_Channel Side,7,If less than 3 metreshorizontally from asset.
Flood Gate_Cill,7,NULL
Flood Gate_Davit,NULL,NULL
Flood Gate_Fastenings,7,NULL
Flood Gate_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Flood Gate_Frame,7,NULL
Flood Gate_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Flood Gate_Gate,9,NULL
Flood Gate_Gearbox,NULL,NULL
Flood Gate_Jib Crane,NULL,NULL
Flood Gate_Motor,NULL,NULL
Flood Gate_Overhead Crane,NULL,NULL
Flood Gate_Seals,7,NULL
Flood Gate_Shore,5,NULL
Flood Gate_Shore,8,"If asset is extremelyexposed, or the Shoreprovides structuralstability or erosionprotection to the areaon which the asset isfounded."
Flood Gate_Stoplogs and Lasherboards,3,NULL
Flood Gate_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activities
Flood Gate_Winch,NULL,NULL
Flood Warning System_Equipment Housing,4,NULL
Flood Warning System_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Flood Warning System_Fastenings,7,NULL
Flood Warning System_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Flood Warning System_Fixings,6,NULL
Flood Warning System_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Flood Warning System_Flood Warning Lamp,NULL,NULL
Flood Warning System_Flood Warning Sign,NULL,NULL
Flood Warning System_Flood Warning Siren,NULL,NULL
Flood Warning System_Treads and Risers,3,NULL
Flood Warning System_Treads and Risers,7,if required foroperational access.
Ford_Flood Warning Sign,NULL,NULL
Ford_Road,3,NULL
Ford_Road,9,"If critical to thefunctioning of the asset,i.e. there is noalternative access."
Garage_Alternator,NULL,NULL
Garage_Ceiling,4,NULL
Garage_Climate Control,NULL,NULL
Garage_Distribution Board,NULL,NULL
Garage_Distribution Network Operator Feeder,NULL,NULL
Garage_Doors and Windows,6,NULL
Garage_Doors and Windows,9,If element is critical foraccess/egress/security
Garage_Drainage System,5,NULL
Garage_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Garage_Electrical System,NULL,NULL
Garage_Electricity Meter,NULL,NULL
Garage_Electricity Sub Meter,NULL,NULL
Garage_External Features,4,NULL
Garage_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Garage_External Walls,8,NULL
Garage_External Walls,9,If element deemed tobe load bearing orrequired for security
Garage_Fire Protection,1,NULL
Garage_Fixed Fall Arrest System,NULL,NULL
Garage_Floor,8,NULL
Garage_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Garage_Foundation,9,NULL
Garage_Frame,8,NULL
Garage_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Garage_Gas System,NULL,NULL
Garage_Heating System,NULL,NULL
Garage_Incomer,NULL,NULL
Garage_Internal Features,1,NULL
Garage_Lighting,NULL,NULL
Garage_Roller Shutters,6,NULL
Garage_Roller Shutters,9,If element is critical foraccess/egress/security
Garage_Roof,8,NULL
Garage_Roof,9,If element is critical forsecurity or building is ofmajor significance
Garage_Security Camera,1,NULL
Garage_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Garage_Solar Panel,NULL,NULL
Garage_Transformer,NULL,NULL
Garage_Treads and Risers,3,NULL
Garage_Treads and Risers,7,if required foroperational access.
Garage_Uninterruptible Power Supply,NULL,NULL
Garage_Ventilation System,NULL,NULL
Garage_Waste Disposal System,NULL,NULL
Garage_Water Supply Plumbing System,7,NULL
Garage_Water Supply Plumbing System,9,If critical for theoperation of the assetand no alternativearrangement areavailable.
Gauge Board_Fastenings,7,NULL
Gauge Board_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Gauge Board_Fixings,6,NULL
Gauge Board_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Gauge Board_Foundation,9,NULL
Gauge Board_Gauge Backing Board,6,NULL
Gauge Board_Gauge Backing Board,9,If board is critical tomeasuring a value.
Gauge Board_Measurement Scale,7,NULL
Gauge Board_Measurement Scale,9,If sole means ofmeasuring a value.
Gauge Board_Post,7,NULL
Gauge Board_Post,9,If element is critical forasset function
Gauge Board_Treads and Risers,3,NULL
Gauge Board_Treads and Risers,7,if required foroperational access.
Gauging Station Building_Access Strip,9,NULL
Gauging Station Building_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Gauging Station Building_Alternator,NULL,NULL
Gauging Station Building_Beams,8,NULL
Gauging Station Building_Beams,9,If element deemed tobe load bearing
Gauging Station Building_Cable and Pipe Management,4,NULL
Gauging Station Building_Cable and Pipe Management,7,If pipes carry pumpedmaterial or control orpower cables
Gauging Station Building_Ceiling,4,NULL
Gauging Station Building_Civils,4,NULL
Gauging Station Building_Climate Control,NULL,NULL
Gauging Station Building_Datum Plates and Markers,4,NULL
Gauging Station Building_Datum Plates and Markers,7,If critical for datacalibration / qualitychecks.
Gauging Station Building_Distribution Board,NULL,NULL
Gauging Station Building_Distribution Network Operator Feeder,NULL,NULL
Gauging Station Building_Doors and Windows,6,NULL
Gauging Station Building_Doors and Windows,9,If element is critical foraccess/egress/security
Gauging Station Building_Drainage System,5,NULL
Gauging Station Building_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Gauging Station Building_Electrical System,NULL,NULL
Gauging Station Building_Electricity Meter,NULL,NULL
Gauging Station Building_Electricity Sub Meter,NULL,NULL
Gauging Station Building_Equipment Housing,4,NULL
Gauging Station Building_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Gauging Station Building_Equipment Mounting Board,3,NULL
Gauging Station Building_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Gauging Station Building_External Features,4,NULL
Gauging Station Building_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Gauging Station Building_External Walls,8,NULL
Gauging Station Building_External Walls,9,If element deemed tobe load bearing orrequired for security
Gauging Station Building_Fastenings,7,NULL
Gauging Station Building_Fastenings,1,if item secured and itdoes not directlycontribute towards the
Gauging Station Building_Fire Protection,1,NULL
Gauging Station Building_Fixed Fall Arrest System,NULL,NULL
Gauging Station Building_Fixings,3,NULL
Gauging Station Building_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Gauging Station Building_Floor,8,NULL
Gauging Station Building_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Gauging Station Building_Foundation,9,NULL
Gauging Station Building_Frame,8,NULL
Gauging Station Building_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Gauging Station Building_Fuel Cell,NULL,NULL
Gauging Station Building_Gantry,1,NULL
Gauging Station Building_Gantry,5,If failure wouldcompromise operation.
Gauging Station Building_Gas System,NULL,NULL
Gauging Station Building_Grassed Elements,1,NULL
Gauging Station Building_Habitat Enhancement,1,NULL
Gauging Station Building_Heating System,NULL,NULL
Gauging Station Building_Hydro Turbine,NULL,NULL
Gauging Station Building_Incomer,NULL,NULL
Gauging Station Building_Internal Features,1,NULL
Gauging Station Building_Internal Walls,4,NULL
Gauging Station Building_Internal Walls,9,If load bearing or criticalfor security.
Gauging Station Building_Ladder,3,NULL
Gauging Station Building_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Gauging Station Building_Lighting,NULL,NULL
Gauging Station Building_Maintenance Hole,3,NULL
Gauging Station Building_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Gauging Station Building_Padlock or Lock,6,NULL
Gauging Station Building_Padlock or Lock,9,if critical to theoperation of the asset
Gauging Station Building_Planted Elements,1,NULL
Gauging Station Building_Roller Shutters,6,NULL
Gauging Station Building_Roller Shutters,9,If element is critical foraccess/egress/security
Gauging Station Building_Roof,8,NULL
Gauging Station Building_Roof,9,If element is critical forsecurity or building is ofmajor significance
Gauging Station Building_Security Camera,1,NULL
Gauging Station Building_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Gauging Station Building_Solar Panel,NULL,NULL
Gauging Station Building_Substructure,8,NULL
Gauging Station Building_Substructure,9,if function /performance of theasset beingcompromised.
Gauging Station Building_Transformer,NULL,NULL
Gauging Station Building_Treads and Risers,3,NULL
Gauging Station Building_Treads and Risers,7,if required foroperational access.
Gauging Station Building_Uninterruptible Power Supply,NULL,NULL
Gauging Station Building_Ventilation System,NULL,NULL
Gauging Station Building_Waste Disposal System,NULL,NULL
Gauging Station Building_Water Supply Plumbing System,7,NULL
Gauging Station Building_Water Supply Plumbing System,9,If critical for theoperation of the assetand no alternativearrangement areavailable.
Generator_Alternator,NULL,NULL
Generator_Common Controls,NULL,NULL
Generator_Distribution Board,NULL,NULL
Generator_Distribution Network Operator Feeder,NULL,NULL
Generator_Electrical System,NULL,NULL
Generator_Electricity Meter,NULL,NULL
Generator_Electricity Sub Meter,NULL,NULL
Generator_Equipment Housing,4,NULL
Generator_Equipment Housing,6,If equipment containedwithin element is notindependently
Generator_Fuel System,NULL,NULL
Generator_Gearbox,NULL,NULL
Generator_Incomer,NULL,NULL
Generator_Transformer,NULL,NULL
Generator_Ventilation System,NULL,NULL
Groyne_Bearing Piling,8,NULL
Groyne_Capping Beam,4,NULL
Groyne_Crest,7,NULL
Groyne_Crest,9,If asset is extremelyexposed.
Groyne_Fishtail,5,NULL
Groyne_Fishtail,7,If asset is extremelyexposed.
Groyne_Left Face,7,NULL
Groyne_Left Face,9,If asset is extremelyexposed.
Groyne_Piling,8,NULL
Groyne_Right Face,7,NULL
Groyne_Right Face,9,If asset is extremelyexposed.
Groyne_Roundhead,5,NULL
Groyne_Roundhead,7,If asset is extremelyexposed.
Groyne_Sheet Piling,8,NULL
Groyne_Sheet Piling,9,If element is used forholding back water orvery exposed
Groyne_Stem,7,NULL
Groyne_Stem,9,If asset is extremelyexposed or if rockgroyne does not have aLeft or Right Face.
Groyne_Treads and Risers,3,NULL
Groyne_Treads and Risers,7,if required foroperational access.
Groyne_Waling,6,NULL
High Voltage Electrical Equipment_Control Equipment,NULL,NULL
High Voltage Electrical Equipment_Distribution Board,NULL,NULL
High Voltage Electrical Equipment_Distribution Network Operator Feeder,NULL,NULL
High Voltage Electrical Equipment_Electrical System,NULL,NULL
High Voltage Electrical Equipment_Electricity Meter,NULL,NULL
High Voltage Electrical Equipment_Electricity Sub Meter,NULL,NULL
High Voltage Electrical Equipment_Incomer,NULL,NULL
High Voltage Electrical Equipment_Power Factor Correction Capacitor,NULL,NULL
High Voltage Electrical Equipment_Surge Arrester,NULL,NULL
High Voltage Electrical Equipment_Switchgear,NULL,NULL
High Voltage Electrical Equipment_Transformer,NULL,NULL
Hydraulic System Assembly_Common Controls,NULL,NULL
Hydraulic System Assembly_Display,NULL,NULL
Hydraulic System Assembly_Gearbox,NULL,NULL
Hydraulic System Assembly_Hydraulic Rams,NULL,NULL
Hydraulic System Assembly_Hydraulic System,NULL,NULL
Hydraulic System Assembly_Programmable Logic Computers,NULL,NULL
Hydraulic System Assembly_Sensor,7,NULL
Hydraulic System Assembly_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
Hydraulic System Assembly_Starter,5,NULL
Hydraulic System Assembly_Starter,9,Do not use variant -awaiting full weightingsreview as part of OBC
In Channel Stoplogs_Central Support Structure,6,NULL
In Channel Stoplogs_Central Support Structure,4,If structure is minor andfailure will not lead tosudden release ofhazardous flows.
In Channel Stoplogs_Davit,NULL,NULL
In Channel Stoplogs_Gantry,1,NULL
In Channel Stoplogs_Gantry,5,If failure wouldcompromise operation.
In Channel Stoplogs_Jib Crane,NULL,NULL
In Channel Stoplogs_Ladder,3,NULL
In Channel Stoplogs_Ladder,5,"if element is consideredcritical to access, egress"
In Channel Stoplogs_Left Bank Wall,6,NULL
In Channel Stoplogs_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
In Channel Stoplogs_Overhead Crane,NULL,NULL
In Channel Stoplogs_Right Bank Wall,6,NULL
In Channel Stoplogs_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
In Channel Stoplogs_Stoplogs and Lasherboards,9,NULL
In Channel Stoplogs_Treads and Risers,3,NULL
In Channel Stoplogs_Treads and Risers,7,if required foroperational access.
In Channel Stoplogs_Winch,NULL,NULL
Information Board_Civils,4,NULL
Information Board_Electrical System,NULL,NULL
Information Board_Equipment Housing,4,NULL
Information Board_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Information Board_Equipment Mounting Board,3,NULL
Information Board_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Information Board_Fixings,6,NULL
Information Board_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Information Board_Foundation,9,NULL
Information Board_Frame,6,NULL
Information Board_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Information Board_Solar Panel,NULL,NULL
Information Board_Wind Turbine,NULL,NULL
Inspection Chamber_Access Strip,9,NULL
Inspection Chamber_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Inspection Chamber_Cable and Pipe Management,4,NULL
Inspection Chamber_Cable and Pipe Management,7,If pipes carry pumpedmaterial or control orpower cables
Inspection Chamber_Cover or Hatch,1,NULL
Inspection Chamber_Drainage System,5,NULL
